,ingredient,amount,ingr_annotation,amount_annotation
732,mozzarella minis,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Mozzarella"", ""eigenschaft"": ""mini""}"
733,orange,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Orange"", ""eigenschaft"": ""orange""}"
734,zucker,1 prise,"{""anzahl"": 1, ""einheit"": ""Prise""}","{""zutat"": ""Zucker"", ""eigenschaft"": ""Prise""}"
735,olivenöl extra vergine,3 esslöffel,"{""anzahl"": 3, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""extra vergine""}"
736,essig,1 ½ esslöffel,"{""volumen"": ""1 \u00bd"", ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Essig""}"
737,kichererbsen-salat,1 schüssel,"{""anzahl"": 1, ""einheit"": ""Sch\u00fcssel""}","{""zutat"": ""Sch\u00fcssel"", ""eigenschaft"": ""kichererbsen-""}"
738,hackfleisch gemischt,500 g,"{""gewicht"": 500, ""einheit"": ""g""}","{""zutat"": ""Hackfleisch"", ""eigenschaft"": ""gemischt""}"
739,toastbrot ohne rinde,2 scheiben,"{""anzahl"": 2, ""einheit"": ""Scheiben""}","{""zutat"": ""Toastbrot"", ""eigenschaft"": ""ohne Rinde""}"
740,zucchini,1 kleinere,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zucchini"", ""eigenschaft"": ""kleiner""}"
741,spitzpaprika rot,1 mittelgrosse,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Paprika"", ""eigenschaft"": ""spitz""}"
742,ei,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Ei""}"
743,zwiebel,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel""}"
744,rhabarber frisch,600 g,"{""gewicht"": 600, ""einheit"": ""g""}","{""zutat"": ""Rhabarber"", ""eigenschaft"": ""frisch""}"
745,orangen,4 stk.,"{""anzahl"": 4, ""einheit"": ""stk.""}","{""zutat"": ""Orange"", ""eigenschaft"": ""orange""}"
746,gelierzucker  - ,1 päckchen,"{""anzahl"": 1, ""einheit"": ""P\u00e4ckchen""}","{""zutat"": ""Zucker"", ""eigenschaft"": ""gelier""}"
747,vanilleschote,0.25 stk.,"{""anzahl"": 0.25, ""einheit"": ""stk.""}","{""zutat"": ""Vanilleschote""}"
748,rhabarber frisch,4 stangen,"{""anzahl"": 4, ""einheit"": ""stangen""}","{""zutat"": ""Rhabarber"", ""eigenschaft"": ""frisch""}"
749,magerquark,700 g,"{""gewicht"": 700, ""einheit"": ""g""}","{""zutat"": ""Quark"", ""eigenschaft"": ""mager""}"
750,frischkäse    ,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Frischk\u00e4se"", ""eigenschaft"": ""frisch""}"
751,eier,3 gr l,"{""gewicht"": 3, ""einheit"": ""gr""}","{""zutat"": ""Ei"", ""eigenschaft"": ""roh""}"
752,weinsteinbackpulver,0.5 pck,"{""anzahl"": 0.5, ""einheit"": ""pck""}","{""zutat"": ""Backpulver"", ""eigenschaft"": ""Weinstein""}"
753,johannisbrotkernmehl,8 g,"{""gewicht"": 8, ""einheit"": ""g""}","{""zutat"": ""Johannisbrotkernmehl""}"
754,xylit oder sukrin,85 g,"{""gewicht"": 85, ""einheit"": ""g""}","{""zutat"": ""Xylit""}"
755,geriebene vanille,prise,"{""anzahl"": 1, ""einheit"": ""Prise""}","{""zutat"": ""Vanille"", ""eigenschaft"": ""gerieben""}"
756,rinderfilet oder roastbeef,300 g,"{""gewicht"": 300, ""einheit"": ""g""}","{""zutat"": ""Rinderfilet"", ""eigenschaft"": ""roh""}"
757,kokosmilch ungesüßt,400 ml,"{""volumen"": 400, ""einheit"": ""ml""}","{""zutat"": ""Kokosmilch"", ""eigenschaft"": ""unges\u00fc\u00dft""}"
758,rinderfond,400 ml,"{""volumen"": 400, ""einheit"": ""ml""}","{""zutat"": ""Rinderfond"", ""eigenschaft"": ""fl\u00fcssig""}"
759,zwiebel,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel""}"
760,knoblauchzehe,1,"{""anzahl"": 1, ""einheit"": ""Zehe""}","{""zutat"": ""Knoblauchzehe""}"
761,ingwer,1 stck,"{""anzahl"": 1, ""einheit"": ""stck""}","{""zutat"": ""Ingwer"", ""eigenschaft"": ""frisch""}"
762,currypaste gelb,2 tl,"{""volumen"": 2, ""einheit"": ""tl""}","{""zutat"": ""Currypaste"", ""eigenschaft"": ""gelb""}"
763,feta,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Feta""}"
764,ei,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Ei""}"
765,pankomehl,3 el,"{""volumen"": 3, ""einheit"": ""el""}","{""zutat"": ""Pankomehl""}"
766,mehl,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Mehl""}"
767,weizenmehl oder dinkelmehl,450 gr.,"{""gewicht"": 450, ""einheit"": ""gr""}","{""zutat"": ""Weizenmehl"", ""eigenschaft"": ""wei\u00df""}"
768,haferflocken,170 gr.,"{""gewicht"": 170, ""einheit"": ""gr""}","{""zutat"": ""Haferflocke""}"
769,geriebener emmentaler,100 gr.,"{""gewicht"": 100, ""einheit"": ""gr""}","{""zutat"": ""Emmentaler"", ""eigenschaft"": ""gerieben""}"
770,olivenöl,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""oliven""}"
771,knoblauchzehen gepresst,2,"{""anzahl"": 2, ""einheit"": ""Zehen""}","{""zutat"": ""Knoblauchzehe"", ""eigenschaft"": ""gepresst""}"
772,wasser,250 ml.,"{""volumen"": 250, ""einheit"": ""ml""}","{""zutat"": ""Wasser""}"
773,kürbiskerne ohne schale gehackt,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Kern"", ""eigenschaft"": ""K\u00fcrbis""}"
774,eier,3,"{""anzahl"": 3, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Ei""}"
775,mehl,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Mehl""}"
776,gries,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Grie\u00df""}"
777,olivenöl extra vergine,3 el,"{""volumen"": 3, ""einheit"": ""el""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""extra vergine""}"
778,salz,1 prise,"{""anzahl"": 1, ""einheit"": ""Prise"", ""zutat"": ""salz""}","{""zutat"": ""Salz"", ""eigenschaft"": ""Prise""}"
779,ricotta,250 g,"{""gewicht"": 250, ""einheit"": ""g""}","{""zutat"": ""Ricotta""}"
780,spinat frisch,500 g,"{""gewicht"": 500, ""einheit"": ""g""}","{""zutat"": ""Spinat"", ""eigenschaft"": ""frisch""}"
781,tomaten,1 dose,"{""anzahl"": 1, ""einheit"": ""dose""}","{""zutat"": ""Tomate"", ""eigenschaft"": ""gedost""}"
782,schmand,50 g,"{""gewicht"": 50, ""einheit"": ""g""}","{""zutat"": ""Schmand"", ""eigenschaft"": ""sahnig""}"
783,zwiebel frisch,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""frisch""}"
784,emmentaler gerieben,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Emmentaler"", ""eigenschaft"": ""gerieben""}"
785,knoblauch,1 zehe,"{""anzahl"": 1, ""einheit"": ""Zehe""}","{""zutat"": ""Zehe"", ""eigenschaft"": ""Knoblauch""}"
786,fleischkäse einfach,800 g,"{""gewicht"": 800, ""einheit"": ""g""}","{""zutat"": ""Fleischk\u00e4se"", ""eigenschaft"": ""einfach""}"
787,zwiebeln,5,"{""anzahl"": 5, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel""}"
788,tomatenmark,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Tomatenmark""}"
789,bratenfond,400 ml,"{""volumen"": 400, ""einheit"": ""ml""}","{""zutat"": ""Bratenfond"", ""eigenschaft"": ""ml""}"
790,zucker,1 prise,"{""anzahl"": 1, ""einheit"": ""Prise""}","{""zutat"": ""Zucker"", ""eigenschaft"": ""Prise""}"
791,pimentkörner,5,"{""anzahl"": 5, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Pimentk\u00f6rner""}"
792,lorbeerblatt,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Lorbeerblatt""}"
793,kichererbsen,1 dose,"{""anzahl"": 1, ""einheit"": ""dose""}","{""zutat"": ""Kichererbse"", ""eigenschaft"": ""in Dose""}"
794,eigelb,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Eigelb""}"
795,semmelbrösel,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Semmelbr\u00f6sel""}"
796,backpulver,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Backpulver""}"
797,zwiebel,1 kleine,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""klein""}"
798,knoblauch frisch,1 zehe,"{""anzahl"": 1, ""einheit"": ""Zehe""}","{""zutat"": ""Knoblauch"", ""eigenschaft"": ""frisch""}"
799,sesam frisch,1 hand,"{""anzahl"": 1, ""einheit"": ""hand""}","{""zutat"": ""Sesam"", ""eigenschaft"": ""frisch""}"
800,biozitronen zumindest alsbio gekauft ,5 stück,"{""anzahl"": 5, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Zitrone"", ""eigenschaft"": ""bio""}"
801,ingwer frisch,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Ingwer"", ""eigenschaft"": ""frisch""}"
802,zitronenmelisse frisch,3 zweige,"{""anzahl"": 3, ""einheit"": ""zweige""}","{""zutat"": ""Zweig"", ""eigenschaft"": ""frisch""}"
803,stevia flüssig,20 ml,"{""volumen"": 20, ""einheit"": ""ml""}","{""zutat"": ""Stevia"", ""eigenschaft"": ""fl\u00fcssig""}"
804,gelierzucker  - ,3 el,"{""volumen"": 3, ""einheit"": ""el""}","{""zutat"": ""Gelierzucker""}"
805,ananassaft - ein guter ohnezucker kostet ca    euro,0.4 liter,"{""volumen"": 0.4, ""einheit"": ""liter""}","{""zutat"": ""Ananassaft"", ""eigenschaft"": ""ohnezucker""}"
806,mehl,220 g,"{""gewicht"": 220, ""einheit"": ""g""}","{""zutat"": ""Mehl""}"
807,hefe,0.5 würfel,"{""anzahl"": 0.5, ""einheit"": ""W\u00fcrfel""}","{""zutat"": ""Hefe"", ""eigenschaft"": ""w\u00fcrfelig""}"
808,wasser lauwarm,150 ml,"{""volumen"": 150, ""einheit"": ""ml""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""lauwarm""}"
809,salz,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Salz""}"
810,rinderhackfleisch,300 g,"{""gewicht"": 300, ""einheit"": ""g""}","{""zutat"": ""Hackfleisch"", ""eigenschaft"": ""Rind""}"
811,tomaten,1 dose,"{""anzahl"": 1, ""einheit"": ""Dose""}","{""zutat"": ""Tomate"", ""eigenschaft"": ""gedost""}"
812,paprika edelsüß,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Paprika"", ""eigenschaft"": ""edels\u00fc\u00df""}"
813,kreuzkümmel gemahlen,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Kreuzk\u00fcmmel"", ""eigenschaft"": ""gemahlen""}"
814,zwiebel,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel""}"
815,knoblauch frisch,2 zehen,"{""anzahl"": 2, ""einheit"": ""Zehen""}","{""zutat"": ""Knoblauch"", ""eigenschaft"": ""frisch""}"
816,peperoni,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Peperoni""}"
817,paprikapaste,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Paprikapaste""}"
818,blätterteig,1 mal,"{""anzahl"": 1, ""einheit"": ""mal""}","{""zutat"": ""Bl\u00e4tterteig""}"
819,ziegenfrischkäse-pralinen,1 mal,"{""anzahl"": 1, ""einheit"": ""mal""}","{""zutat"": ""Ziehenfrischk\u00e4se"", ""eigenschaft"": ""frisch""}"
820,fenchel,1 knolle,"{""anzahl"": 1, ""einheit"": ""knolle""}","{""zutat"": ""Fenchel"", ""eigenschaft"": ""knollig""}"
821,rote zwiebel,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""rot""}"
822,sojasoße,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Sojasauce""}"
823,essig,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Essig""}"
824,walnußöl,3 el,"{""volumen"": 3, ""einheit"": ""el""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Walnuss""}"
825,h-milch,130 ml,"{""volumen"": 130, ""einheit"": ""ml""}","{""zutat"": ""Milch"", ""eigenschaft"": ""h""}"
826,ei verquirlt,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Ei"", ""eigenschaft"": ""verquirlt""}"
827,grieß,65 g,"{""gewicht"": 65, ""einheit"": ""g""}","{""zutat"": ""Grie\u00df""}"
828,butter geschmolzen,2 tl,"{""volumen"": 2, ""einheit"": ""tl""}","{""zutat"": ""Butter"", ""eigenschaft"": ""geschmolzen""}"
829,pfeffer,1 prise,"{""anzahl"": 1, ""einheit"": ""Prise""}","{""zutat"": ""Pfeffer"", ""eigenschaft"": ""Prise""}"
830,salz,2 msp,"{""anzahl"": 2, ""einheit"": ""msp"", ""zutat"": ""salz""}","{""zutat"": ""Salz""}"
831,petersilie gewürz,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Petersilie"", ""eigenschaft"": ""gew\u00fcrzt""}"
832,hackfleisch gemischt,500 g,"{""gewicht"": 500, ""einheit"": ""g""}","{""zutat"": ""Hackfleisch"", ""eigenschaft"": ""gemischt""}"
833,weißkohl frisch,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Wei\u00dfkohl"", ""eigenschaft"": ""frisch""}"
834,bratenfond,800 ml,"{""volumen"": 800, ""einheit"": ""ml""}","{""zutat"": ""Bratenfond"", ""eigenschaft"": ""fl\u00fcssig""}"
835,lorbeerblatt,3,"{""anzahl"": 3, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Lorbeerblatt""}"
836,pimentkörner,7,"{""anzahl"": 7, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Pimentk\u00f6rner""}"
837,zwiebel gewürfelt,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}"
838,tomatenmark,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Tomatenmark""}"
839,biozitronen ca    g -zumnindest als bio gekauft ,4 stück,"{""anzahl"": 4, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Zitrone"", ""eigenschaft"": ""bio""}"
840,stevia flüssig,10 ml,"{""volumen"": 10, ""einheit"": ""ml""}","{""zutat"": ""Stevia"", ""eigenschaft"": ""fl\u00fcssig""}"
841,gelfix  - ,1 pack,"{""anzahl"": 1, ""einheit"": ""pack""}","{""zutat"": ""Gelfix""}"
842,große feste mangos - nettoca    -   g,2 stück,"{""anzahl"": 2, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Mango"", ""eigenschaft"": ""fest""}"
843,stevia flüssig,10 ml,"{""volumen"": 10, ""einheit"": ""ml""}","{""zutat"": ""Stevia"", ""eigenschaft"": ""fl\u00fcssig""}"
844,gelfix  - ,1 pack,"{""anzahl"": 1, ""einheit"": ""pack""}","{""zutat"": ""Gelfix""}"
845,toastbrot,4 scheiben,"{""anzahl"": 4, ""einheit"": ""scheiben""}","{""zutat"": ""Toastbrot"", ""eigenschaft"": ""geschnitten""}"
846,schmand,1 becher,"{""volumen"": 1, ""einheit"": ""becher""}","{""zutat"": ""Schmand""}"
847,zwiebel,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel""}"
848,käse,4 scheiben,"{""anzahl"": 4, ""einheit"": ""scheiben""}","{""zutat"": ""K\u00e4se"", ""eigenschaft"": ""Scheibe""}"
849,rinderhackfleisch,500 g,"{""gewicht"": 500, ""einheit"": ""g""}","{""zutat"": ""Hackfleisch"", ""eigenschaft"": ""Rind""}"
850,gorgonzola,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Gorgonzola""}"
851,blattspinat,1 pck,"{""anzahl"": 1, ""einheit"": ""pck""}","{""zutat"": ""Spinat"", ""eigenschaft"": ""blatt""}"
852,spirelli,400 g,"{""gewicht"": 400, ""einheit"": ""g""}","{""zutat"": ""Spirelli""}"
853,zwiebel,150,"{""anzahl"": 150, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel""}"
854,knoblauch,2 zehen,"{""anzahl"": 2, ""einheit"": ""Zehen""}","{""zutat"": ""Zehe"", ""eigenschaft"": ""Knoblauch""}"
855,käse gerieben,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""K\u00e4se"", ""eigenschaft"": ""gerieben""}"
856,sahne,200 ml,"{""volumen"": 200, ""einheit"": ""ml""}","{""zutat"": ""Sahne"", ""eigenschaft"": ""fl\u00fcssig""}"
857,eier,2,"{""anzahl"": 2, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Ei""}"
858,quinoa,1 tasse,"{""volumen"": 1, ""einheit"": ""tasse""}","{""zutat"": ""Quinoa""}"
859,gemüsebrühe,2 tassen,"{""volumen"": 2, ""einheit"": ""tassen""}","{""zutat"": ""Gem\u00fcsebr\u00fche""}"
860,paprika rot,0.5,"{""anzahl"": 0.5, ""einheit"": ""St\u00fcck"", ""zutat"": ""paprika rot""}","{""zutat"": ""Paprika"", ""eigenschaft"": ""rot""}"
861,kurkuma gewürz gemahlen,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Kurkuma"", ""eigenschaft"": ""gemahlen""}"
862,zwiebel,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel""}"
863,knoblauch,1 zehe,"{""anzahl"": 1, ""einheit"": ""Zehe""}","{""zutat"": ""Zehe"", ""eigenschaft"": ""Knoblauch""}"
864,fenchelsamen frisch gemahlen,1 prise,"{""anzahl"": 1, ""einheit"": ""Prise"", ""zutat"": ""Fenchelsamen""}","{""zutat"": ""Fenchelsame"", ""eigenschaft"": ""gemahlen""}"
865,koriander frisch gemahlen,1 prise,"{""anzahl"": 1, ""einheit"": ""Prise""}","{""zutat"": ""Koriander"", ""eigenschaft"": ""gemahlen""}"
866,camembert doppelrahmstufe,250 g,"{""gewicht"": 250, ""einheit"": ""g""}","{""zutat"": ""Camembert"", ""eigenschaft"": ""doppelrahm""}"
867,frischkäse doppelrahmstufe,150 g,"{""gewicht"": 150, ""einheit"": ""g""}","{""zutat"": ""Frischk\u00e4se"", ""eigenschaft"": ""Doppelrahmstufe""}"
868,zwiebel,1 kleine,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""klein""}"
869,bier,1 schuss,"{""volumen"": 1, ""einheit"": ""Schuss""}","{""zutat"": ""Bier"", ""eigenschaft"": ""Schuss""}"
870,butter weich,50 g,"{""gewicht"": 50, ""einheit"": ""g""}","{""zutat"": ""Butter"", ""eigenschaft"": ""weich""}"
871,schwarzwurzel frisch,400 g,"{""gewicht"": 400, ""einheit"": ""g""}","{""zutat"": ""Schwarzwurzel"", ""eigenschaft"": ""frisch""}"
872,gemüsefond,800 mg,"{""gewicht"": 800, ""einheit"": ""mg""}","{""zutat"": ""Fond"", ""eigenschaft"": ""gem\u00fcse""}"
873,sahne,200 ml,"{""volumen"": 200, ""einheit"": ""ml""}","{""zutat"": ""Sahne""}"
874,zwiebel frisch,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""frisch""}"
875,knoblauch frisch,1 zehe,"{""anzahl"": 1, ""einheit"": ""Zehe""}","{""zutat"": ""Zehe"", ""eigenschaft"": ""frisch""}"
876,zitrone frisch,0.5,"{""anzahl"": 0.5, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zitrone"", ""eigenschaft"": ""frisch""}"
877,rote bete gekocht,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Rote Bete"", ""eigenschaft"": ""gekocht""}"
878,rucola,0.25 bündel,"{""anzahl"": 0.25, ""einheit"": ""b\u00fcndel""}","{""zutat"": ""Rucola"", ""eigenschaft"": ""b\u00fcndel""}"
879,kopfsalat frisch,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Kopfsalat"", ""eigenschaft"": ""frisch""}"
880,carmine   chicoree rot,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Chicoree"", ""eigenschaft"": ""rot""}"
881,champignons frisch,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Champignon"", ""eigenschaft"": ""frisch""}"
882,zwiebel,0.125 stk.,"{""anzahl"": 0.125, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel""}"
883,trauben grün kernlos,6 stk.,"{""anzahl"": 6, ""einheit"": ""stk.""}","{""zutat"": ""Traube"", ""eigenschaft"": ""kernlos""}"
884,kumquats frisch,4 stk.,"{""anzahl"": 4, ""einheit"": ""stk.""}","{""zutat"": ""Kumquat"", ""eigenschaft"": ""frisch""}"
885,karotte,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Karotte""}"
886,radieschen frisch,3 stk.,"{""anzahl"": 3, ""einheit"": ""stk.""}","{""zutat"": ""Radieschen"", ""eigenschaft"": ""frisch""}"
887,schmand,1 ½ esslöffel,"{""volumen"": ""1 \u00bd"", ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Schmand""}"
888,wasser,3 esslöffel,"{""volumen"": 3, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Essl\u00f6ffel"", ""eigenschaft"": ""Wasser""}"
889,alaska-seelachsfilet imbackteig,2 stück,"{""anzahl"": 2, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Seelachsfilet"", ""eigenschaft"": ""im Backteig""}"
890,butterschmalz,1 esslöffel,"{""volumen"": 1, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Butterschmalz""}"
891,küchentuch,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""K\u00fcchentuch"", ""eigenschaft"": ""St\u00fcck""}"
892,rote linsen,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Linse"", ""eigenschaft"": ""rot""}"
893,gemüsebrühe,650 ml,"{""volumen"": 650, ""einheit"": ""ml""}","{""zutat"": ""Gem\u00fcsebr\u00fche"", ""eigenschaft"": ""gemischt""}"
894,mohrrübe gegart,50 g,"{""gewicht"": 50, ""einheit"": ""g""}","{""zutat"": ""Mohrr\u00fcbe"", ""eigenschaft"": ""gegart""}"
895,porree gegart,50 g,"{""gewicht"": 50, ""einheit"": ""g""}","{""zutat"": ""Porree"", ""eigenschaft"": ""gegart""}"
896,sellerieknolle gegart,50 g,"{""gewicht"": 50, ""einheit"": ""g""}","{""zutat"": ""Sellerieknolle"", ""eigenschaft"": ""gegart""}"
897,broccoli gegart,30 g,"{""gewicht"": 30, ""einheit"": ""g""}","{""zutat"": ""Brokkoli"", ""eigenschaft"": ""gegart""}"
898,spitzpaprika rot,30 g,"{""gewicht"": 30, ""einheit"": ""g""}","{""zutat"": ""Spitzpaprika"", ""eigenschaft"": ""rot""}"
899,kräuter der saison,1 el,"{""volumen"": ""1"", ""einheit"": ""el""}","{""zutat"": ""Kraut"", ""eigenschaft"": ""saisonal""}"
900,meersalz,1 prise,"{""anzahl"": 1, ""einheit"": ""Prise"", ""zutat"": ""Meersalz""}","{""zutat"": ""Prise"", ""eigenschaft"": ""Meer""}"
901,cayenne,1 prise,"{""anzahl"": 1, ""einheit"": ""Prise""}","{""zutat"": ""Cayenne"", ""eigenschaft"": ""Prise""}"
902,norderneyer seeluftschinken,6 stück,"{""anzahl"": 6, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Schinken"", ""eigenschaft"": ""seeluft""}"
903,radieschen,6 stück,"{""anzahl"": 6, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Radieschen""}"
904,speiseöl,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Speise\u00f6l""}"
905,weinessig,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Essig"", ""eigenschaft"": ""wei\u00df""}"
906,milch,1 liter,"{""volumen"": 1, ""einheit"": ""liter""}","{""zutat"": ""Milch"", ""eigenschaft"": ""1 Liter""}"
907,milchreis,250 g,"{""gewicht"": 250, ""einheit"": ""g""}","{""zutat"": ""Milchreis""}"
908,salz,1 prise,"{""anzahl"": 1, ""einheit"": ""Prise"", ""zutat"": ""salz""}","{""zutat"": ""Salz"", ""eigenschaft"": ""Prise""}"
909,zucker,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Zucker""}"
