Unnamed: 0,ingredient,amount,ingr_annotation,amount_annotation,norm_value,norm_unit
679,farfalle,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Farfalle""}",200.0,g
680,erbsen,1 tasse,"{""volumen"": 1, ""einheit"": ""tasse""}","{""zutat"": ""Erbe"", ""eigenschaft"": ""gr\u00fcn""}",0.25,liter
681,karotten gewürfelt,2 stk.,"{""anzahl"": 2, ""einheit"": ""stk.""}","{""zutat"": ""Karotte"", ""eigenschaft"": ""gew\u00fcrfelt""}",2.0,stück
682,kochschinken,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Schinken"", ""eigenschaft"": ""gekocht""}",200.0,g
683,rapsöl,1 esslöffel,"{""volumen"": 1, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Raps\u00f6l""}",0.015,liter
684,kondensmilch     fett,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Kondensmilch"", ""eigenschaft"": ""fett""}",200.0,g
685,magermilch,100 ml,"{""volumen"": 100, ""einheit"": ""ml""}","{""zutat"": ""Milch"", ""eigenschaft"": ""mager""}",0.1,liter
686,cherry dattel tomaten,10 stk.,"{""anzahl"": 10, ""einheit"": ""stk.""}","{""zutat"": ""Tomate"", ""eigenschaft"": ""dattel""}",10.0,stück
687,kerrygold bergkäse gerieben,40 g,"{""gewicht"": 40, ""einheit"": ""g""}","{""zutat"": ""K\u00e4se"", ""eigenschaft"": ""Bergk\u00e4se""}",40.0,g
688,parmesan gerieben,1 esslöffel,"{""volumen"": ""1"", ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Parmesan"", ""eigenschaft"": ""gerieben""}",0.015,liter
689,mangos frisch,2,"{""anzahl"": 2, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Mango"", ""eigenschaft"": ""frisch""}",2.0,stück
690,joghurt,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Joghurt""}",0.03,liter
691,crème fraîche,1 becher,"{""volumen"": 1, ""einheit"": ""becher""}","{""zutat"": ""Cr\u00e8me fra\u00eeche""}",0.25,liter
692,ebly aus hartweizen,140 g,"{""gewicht"": 140, ""einheit"": ""g""}","{""zutat"": ""Ebly"", ""eigenschaft"": ""aus Hartweizen""}",140.0,g
693,rapsöl,2 esslöffel,"{""anzahl"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Raps-""}",0.03,liter
694,zwiebel gewürfelt,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}",1.0,stück
695,knoblauch gehackt,1 zehe,"{""anzahl"": 1, ""einheit"": ""Zehe""}","{""zutat"": ""Zehe"", ""eigenschaft"": ""gehackt""}",1.0,stück
696,gemüsebrühe heiß,300 ml,"{""volumen"": 300, ""einheit"": ""ml""}","{""zutat"": ""Gem\u00fcsebr\u00fche"", ""eigenschaft"": ""hei\u00df""}",0.3,liter
697,schlotten,6 stk.,"{""anzahl"": 6, ""einheit"": ""stk.""}","{""zutat"": ""Schlotte"", ""eigenschaft"": ""St\u00fcck""}",6.0,stück
698,paprika edelsüß,1 teelöffel,"{""anzahl"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Paprika"", ""eigenschaft"": ""edels\u00fc\u00df""}",0.005,liter
699,parmesan gerieben,1 esslöffel,"{""volumen"": ""1"", ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Parmesan"", ""eigenschaft"": ""gerieben""}",0.015,liter
700,quinoa,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Quinoa""}",100.0,g
701,gemüsebrühe,250 g,"{""gewicht"": 250, ""einheit"": ""g""}","{""zutat"": ""Gem\u00fcsebr\u00fche""}",250.0,g
702,hirseflocken,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Hirscheflocke""}",0.03,liter
703,zwiebel,1 kleine,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""klein""}",1.0,stück
704,lauch,0.5 stange,"{""anzahl"": 0.5, ""einheit"": ""stange""}","{""zutat"": ""Lauch"", ""eigenschaft"": ""Stange""}",0.5,stück
705,zitrone,1 spr,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zitrone"", ""eigenschaft"": ""spr""}",1.0,stück
706,ei,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Ei""}",1.0,stück
707,pilze,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Pilz""}",200.0,g
708,gemüsefond,150 ml,"{""volumen"": 150, ""einheit"": ""ml""}","{""zutat"": ""Fond"", ""eigenschaft"": ""gem\u00fcse""}",0.15,liter
709,peperoni,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Peperoni""}",1.0,stück
710,tomatenmark,3 tl,"{""volumen"": 3, ""einheit"": ""tl""}","{""zutat"": ""Tomatenmark""}",0.015,liter
711,curry,2 tl,"{""volumen"": 2, ""einheit"": ""tl""}","{""zutat"": ""Curry""}",0.01,liter
712,butter,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Butter""}",0.03,liter
713,sahne,200 ml,"{""volumen"": 200, ""einheit"": ""ml""}","{""zutat"": ""Sahne"", ""eigenschaft"": ""fl\u00fcssig""}",0.2,liter
714,paprikapulver,2 tl,"{""volumen"": 2, ""einheit"": ""tl""}","{""zutat"": ""Paprika"", ""eigenschaft"": ""Pulver""}",0.01,liter
715,knoblauch frisch,1 zehe,"{""anzahl"": 1, ""einheit"": ""Zehe""}","{""zutat"": ""Zehe"", ""eigenschaft"": ""frisch""}",1.0,stück
716,paprika gelb,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Paprika"", ""eigenschaft"": ""gelb""}",1.0,stück
717,cous cous,1 beutel,"{""anzahl"": 1, ""einheit"": ""beutel""}","{""zutat"": ""Couscous""}",1.0,stück
718,wasser kochend,150 ml,"{""volumen"": 150, ""einheit"": ""ml""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""kochend""}",0.15,liter
719,feta gewürfelt,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Feta"", ""eigenschaft"": ""gew\u00fcrfelt""}",100.0,g
720,lauchzwiebel frisch,0.5 bund,"{""anzahl"": 0.5, ""einheit"": ""bund""}","{""zutat"": ""Lauchzwiebel"", ""eigenschaft"": ""frisch""}",0.5,stück
721,cocktailtomaten,10 stk.,"{""anzahl"": 10, ""einheit"": ""stk.""}","{""zutat"": ""Cocktailtomate"", ""eigenschaft"": ""cocktail""}",10.0,stück
722,oliven schwarz,10 stk.,"{""anzahl"": 10, ""einheit"": ""stk.""}","{""zutat"": ""Olive"", ""eigenschaft"": ""schwarz""}",10.0,stück
723,olivenöl extra vergine,3 teelöffel,"{""anzahl"": 3, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Teel\u00f6ffel"", ""eigenschaft"": ""extra vergine""}",0.015,liter
724,zitronensaft,2 teelöffel,"{""anzahl"": 2, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Teel\u00f6ffel"", ""eigenschaft"": ""Zitronensaft""}",0.01,liter
725,honig flüssig,1 teelöffel,"{""anzahl"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Honig"", ""eigenschaft"": ""fl\u00fcssig""}",0.005,liter
726,curcuma    gelbwurz,3 teelöffel,"{""anzahl"": 3, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Teel\u00f6ffel"", ""eigenschaft"": ""3""}",0.015,liter
727,minze gehackt,1 esslöffel,"{""volumen"": ""1"", ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Minze"", ""eigenschaft"": ""gehackt""}",0.015,liter
728,chicoree frisch,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Chicor\u00e9e"", ""eigenschaft"": ""frisch""}",1.0,stück
729,cocktailtomaten,15 stk.,"{""anzahl"": 15, ""einheit"": ""stk.""}","{""zutat"": ""Tomate"", ""eigenschaft"": ""Cocktail""}",15.0,stück
730,lauchzwiebeln frisch,1 bund,"{""anzahl"": 1, ""einheit"": ""bund""}","{""zutat"": ""Lauchzwiebel"", ""eigenschaft"": ""frisch""}",1.0,stück
731,minze gehackt,1 esslöffel,"{""volumen"": 1, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Minze"", ""eigenschaft"": ""gehackt""}",0.015,liter
732,mozzarella minis,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Mozzarella"", ""eigenschaft"": ""mini""}",100.0,g
733,orange,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Orange"", ""eigenschaft"": ""orange""}",1.0,stück
734,zucker,1 prise,"{""anzahl"": 1, ""einheit"": ""Prise""}","{""zutat"": ""Zucker"", ""eigenschaft"": ""Prise""}",0.0005,liter
735,olivenöl extra vergine,3 esslöffel,"{""anzahl"": 3, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""extra vergine""}",0.045,liter
736,essig,1 ½ esslöffel,"{""volumen"": ""1 \u00bd"", ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Essig""}",0.0225,liter
737,kichererbsen-salat,1 schüssel,"{""anzahl"": 1, ""einheit"": ""Sch\u00fcssel""}","{""zutat"": ""Sch\u00fcssel"", ""eigenschaft"": ""kichererbsen-""}",1.0,stück
738,hackfleisch gemischt,500 g,"{""gewicht"": 500, ""einheit"": ""g""}","{""zutat"": ""Hackfleisch"", ""eigenschaft"": ""gemischt""}",500.0,g
739,toastbrot ohne rinde,2 scheiben,"{""anzahl"": 2, ""einheit"": ""Scheiben""}","{""zutat"": ""Toastbrot"", ""eigenschaft"": ""ohne Rinde""}",2.0,stück
740,zucchini,1 kleinere,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zucchini"", ""eigenschaft"": ""kleiner""}",1.0,stück
741,spitzpaprika rot,1 mittelgrosse,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Paprika"", ""eigenschaft"": ""spitz""}",1.0,stück
742,ei,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Ei""}",1.0,stück
743,zwiebel,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel""}",1.0,stück
744,rhabarber frisch,600 g,"{""gewicht"": 600, ""einheit"": ""g""}","{""zutat"": ""Rhabarber"", ""eigenschaft"": ""frisch""}",600.0,g
745,orangen,4 stk.,"{""anzahl"": 4, ""einheit"": ""stk.""}","{""zutat"": ""Orange"", ""eigenschaft"": ""orange""}",4.0,stück
746,gelierzucker  - ,1 päckchen,"{""anzahl"": 1, ""einheit"": ""P\u00e4ckchen""}","{""zutat"": ""Zucker"", ""eigenschaft"": ""gelier""}",1.0,stück
747,vanilleschote,0.25 stk.,"{""anzahl"": 0.25, ""einheit"": ""stk.""}","{""zutat"": ""Vanilleschote""}",0.25,stück
748,rhabarber frisch,4 stangen,"{""anzahl"": 4, ""einheit"": ""stangen""}","{""zutat"": ""Rhabarber"", ""eigenschaft"": ""frisch""}",4.0,stück
749,magerquark,700 g,"{""gewicht"": 700, ""einheit"": ""g""}","{""zutat"": ""Quark"", ""eigenschaft"": ""mager""}",700.0,g
750,frischkäse    ,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Frischk\u00e4se"", ""eigenschaft"": ""frisch""}",100.0,g
751,eier,3 gr l,"{""gewicht"": 3, ""einheit"": ""gr""}","{""zutat"": ""Ei"", ""eigenschaft"": ""roh""}",3.0,g
752,weinsteinbackpulver,0.5 pck,"{""anzahl"": 0.5, ""einheit"": ""pck""}","{""zutat"": ""Backpulver"", ""eigenschaft"": ""Weinstein""}",0.5,stück
753,johannisbrotkernmehl,8 g,"{""gewicht"": 8, ""einheit"": ""g""}","{""zutat"": ""Johannisbrotkernmehl""}",8.0,g
754,xylit oder sukrin,85 g,"{""gewicht"": 85, ""einheit"": ""g""}","{""zutat"": ""Xylit""}",85.0,g
755,geriebene vanille,prise,"{""anzahl"": 1, ""einheit"": ""Prise""}","{""zutat"": ""Vanille"", ""eigenschaft"": ""gerieben""}",0.0005,liter
756,rinderfilet oder roastbeef,300 g,"{""gewicht"": 300, ""einheit"": ""g""}","{""zutat"": ""Rinderfilet"", ""eigenschaft"": ""roh""}",300.0,g
757,kokosmilch ungesüßt,400 ml,"{""volumen"": 400, ""einheit"": ""ml""}","{""zutat"": ""Kokosmilch"", ""eigenschaft"": ""unges\u00fc\u00dft""}",0.4,liter
758,rinderfond,400 ml,"{""volumen"": 400, ""einheit"": ""ml""}","{""zutat"": ""Rinderfond"", ""eigenschaft"": ""fl\u00fcssig""}",0.4,liter
759,zwiebel,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel""}",1.0,stück
760,knoblauchzehe,1,"{""anzahl"": 1, ""einheit"": ""Zehe""}","{""zutat"": ""Knoblauchzehe""}",1.0,stück
761,ingwer,1 stck,"{""anzahl"": 1, ""einheit"": ""stck""}","{""zutat"": ""Ingwer"", ""eigenschaft"": ""frisch""}",1.0,stück
762,currypaste gelb,2 tl,"{""volumen"": 2, ""einheit"": ""tl""}","{""zutat"": ""Currypaste"", ""eigenschaft"": ""gelb""}",0.01,liter
763,feta,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Feta""}",200.0,g
764,ei,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Ei""}",1.0,stück
765,pankomehl,3 el,"{""volumen"": 3, ""einheit"": ""el""}","{""zutat"": ""Pankomehl""}",0.045,liter
766,mehl,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Mehl""}",0.03,liter
767,weizenmehl oder dinkelmehl,450 gr.,"{""gewicht"": 450, ""einheit"": ""gr""}","{""zutat"": ""Weizenmehl"", ""eigenschaft"": ""wei\u00df""}",450.0,g
768,haferflocken,170 gr.,"{""gewicht"": 170, ""einheit"": ""gr""}","{""zutat"": ""Haferflocke""}",170.0,g
769,geriebener emmentaler,100 gr.,"{""gewicht"": 100, ""einheit"": ""gr""}","{""zutat"": ""Emmentaler"", ""eigenschaft"": ""gerieben""}",100.0,g
770,olivenöl,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""oliven""}",0.03,liter
771,knoblauchzehen gepresst,2,"{""anzahl"": 2, ""einheit"": ""Zehen""}","{""zutat"": ""Knoblauchzehe"", ""eigenschaft"": ""gepresst""}",2.0,stück
772,wasser,250 ml.,"{""volumen"": 250, ""einheit"": ""ml""}","{""zutat"": ""Wasser""}",0.25,liter
773,kürbiskerne ohne schale gehackt,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Kern"", ""eigenschaft"": ""K\u00fcrbis""}",0.03,liter
774,eier,3,"{""anzahl"": 3, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Ei""}",3.0,stück
775,mehl,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Mehl""}",200.0,g
776,gries,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Grie\u00df""}",100.0,g
777,olivenöl extra vergine,3 el,"{""volumen"": 3, ""einheit"": ""el""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""extra vergine""}",0.045,liter
778,salz,1 prise,"{""anzahl"": 1, ""einheit"": ""Prise"", ""zutat"": ""salz""}","{""zutat"": ""Salz"", ""eigenschaft"": ""Prise""}",0.0005,liter
779,ricotta,250 g,"{""gewicht"": 250, ""einheit"": ""g""}","{""zutat"": ""Ricotta""}",250.0,g
780,spinat frisch,500 g,"{""gewicht"": 500, ""einheit"": ""g""}","{""zutat"": ""Spinat"", ""eigenschaft"": ""frisch""}",500.0,g
781,tomaten,1 dose,"{""anzahl"": 1, ""einheit"": ""dose""}","{""zutat"": ""Tomate"", ""eigenschaft"": ""gedost""}",1.0,stück
782,schmand,50 g,"{""gewicht"": 50, ""einheit"": ""g""}","{""zutat"": ""Schmand"", ""eigenschaft"": ""sahnig""}",50.0,g
783,zwiebel frisch,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""frisch""}",1.0,stück
784,emmentaler gerieben,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Emmentaler"", ""eigenschaft"": ""gerieben""}",100.0,g
785,knoblauch,1 zehe,"{""anzahl"": 1, ""einheit"": ""Zehe""}","{""zutat"": ""Zehe"", ""eigenschaft"": ""Knoblauch""}",1.0,stück
786,fleischkäse einfach,800 g,"{""gewicht"": 800, ""einheit"": ""g""}","{""zutat"": ""Fleischk\u00e4se"", ""eigenschaft"": ""einfach""}",800.0,g
787,zwiebeln,5,"{""anzahl"": 5, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel""}",5.0,stück
788,tomatenmark,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Tomatenmark""}",0.03,liter
789,bratenfond,400 ml,"{""volumen"": 400, ""einheit"": ""ml""}","{""zutat"": ""Bratenfond"", ""eigenschaft"": ""ml""}",0.4,liter
790,zucker,1 prise,"{""anzahl"": 1, ""einheit"": ""Prise""}","{""zutat"": ""Zucker"", ""eigenschaft"": ""Prise""}",0.0005,liter
791,pimentkörner,5,"{""anzahl"": 5, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Pimentk\u00f6rner""}",5.0,stück
792,lorbeerblatt,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Lorbeerblatt""}",1.0,stück
793,kichererbsen,1 dose,"{""anzahl"": 1, ""einheit"": ""dose""}","{""zutat"": ""Kichererbse"", ""eigenschaft"": ""in Dose""}",1.0,stück
794,eigelb,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Eigelb""}",1.0,stück
795,semmelbrösel,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Semmelbr\u00f6sel""}",0.03,liter
796,backpulver,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Backpulver""}",0.005,liter
797,zwiebel,1 kleine,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""klein""}",1.0,stück
798,knoblauch frisch,1 zehe,"{""anzahl"": 1, ""einheit"": ""Zehe""}","{""zutat"": ""Knoblauch"", ""eigenschaft"": ""frisch""}",1.0,stück
799,sesam frisch,1 hand,"{""anzahl"": 1, ""einheit"": ""hand""}","{""zutat"": ""Sesam"", ""eigenschaft"": ""frisch""}",1.0,stück
800,biozitronen zumindest alsbio gekauft ,5 stück,"{""anzahl"": 5, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Zitrone"", ""eigenschaft"": ""bio""}",5.0,stück
801,ingwer frisch,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Ingwer"", ""eigenschaft"": ""frisch""}",1.0,stück
802,zitronenmelisse frisch,3 zweige,"{""anzahl"": 3, ""einheit"": ""zweige""}","{""zutat"": ""Zweig"", ""eigenschaft"": ""frisch""}",3.0,stück
803,stevia flüssig,20 ml,"{""volumen"": 20, ""einheit"": ""ml""}","{""zutat"": ""Stevia"", ""eigenschaft"": ""fl\u00fcssig""}",0.02,liter
804,gelierzucker  - ,3 el,"{""volumen"": 3, ""einheit"": ""el""}","{""zutat"": ""Gelierzucker""}",0.045,liter
805,ananassaft - ein guter ohnezucker kostet ca    euro,0.4 liter,"{""volumen"": 0.4, ""einheit"": ""liter""}","{""zutat"": ""Ananassaft"", ""eigenschaft"": ""ohnezucker""}",0.4,liter
806,mehl,220 g,"{""gewicht"": 220, ""einheit"": ""g""}","{""zutat"": ""Mehl""}",220.0,g
807,hefe,0.5 würfel,"{""anzahl"": 0.5, ""einheit"": ""W\u00fcrfel""}","{""zutat"": ""Hefe"", ""eigenschaft"": ""w\u00fcrfelig""}",0.5,stück
808,wasser lauwarm,150 ml,"{""volumen"": 150, ""einheit"": ""ml""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""lauwarm""}",0.15,liter
809,salz,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Salz""}",0.005,liter
810,rinderhackfleisch,300 g,"{""gewicht"": 300, ""einheit"": ""g""}","{""zutat"": ""Hackfleisch"", ""eigenschaft"": ""Rind""}",300.0,g
811,tomaten,1 dose,"{""anzahl"": 1, ""einheit"": ""Dose""}","{""zutat"": ""Tomate"", ""eigenschaft"": ""gedost""}",1.0,stück
812,paprika edelsüß,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Paprika"", ""eigenschaft"": ""edels\u00fc\u00df""}",0.015,liter
813,kreuzkümmel gemahlen,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Kreuzk\u00fcmmel"", ""eigenschaft"": ""gemahlen""}",0.005,liter
814,zwiebel,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel""}",1.0,stück
815,knoblauch frisch,2 zehen,"{""anzahl"": 2, ""einheit"": ""Zehen""}","{""zutat"": ""Knoblauch"", ""eigenschaft"": ""frisch""}",2.0,stück
816,peperoni,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Peperoni""}",1.0,stück
817,paprikapaste,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Paprikapaste""}",0.03,liter
818,blätterteig,1 mal,"{""anzahl"": 1, ""einheit"": ""mal""}","{""zutat"": ""Bl\u00e4tterteig""}",1.0,stück
819,ziegenfrischkäse-pralinen,1 mal,"{""anzahl"": 1, ""einheit"": ""mal""}","{""zutat"": ""Ziehenfrischk\u00e4se"", ""eigenschaft"": ""frisch""}",1.0,stück
820,fenchel,1 knolle,"{""anzahl"": 1, ""einheit"": ""knolle""}","{""zutat"": ""Fenchel"", ""eigenschaft"": ""knollig""}",1.0,stück
821,rote zwiebel,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""rot""}",1.0,stück
822,sojasoße,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Sojasauce""}",0.015,liter
823,essig,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Essig""}",0.03,liter
824,walnußöl,3 el,"{""volumen"": 3, ""einheit"": ""el""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Walnuss""}",0.045,liter
825,h-milch,130 ml,"{""volumen"": 130, ""einheit"": ""ml""}","{""zutat"": ""Milch"", ""eigenschaft"": ""h""}",0.13,liter
826,ei verquirlt,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Ei"", ""eigenschaft"": ""verquirlt""}",1.0,stück
827,grieß,65 g,"{""gewicht"": 65, ""einheit"": ""g""}","{""zutat"": ""Grie\u00df""}",65.0,g
828,butter geschmolzen,2 tl,"{""volumen"": 2, ""einheit"": ""tl""}","{""zutat"": ""Butter"", ""eigenschaft"": ""geschmolzen""}",0.01,liter
829,pfeffer,1 prise,"{""anzahl"": 1, ""einheit"": ""Prise""}","{""zutat"": ""Pfeffer"", ""eigenschaft"": ""Prise""}",0.0005,liter
830,salz,2 msp,"{""anzahl"": 2, ""einheit"": ""msp"", ""zutat"": ""salz""}","{""zutat"": ""Salz""}",0.001,liter
831,petersilie gewürz,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Petersilie"", ""eigenschaft"": ""gew\u00fcrzt""}",0.005,liter
832,hackfleisch gemischt,500 g,"{""gewicht"": 500, ""einheit"": ""g""}","{""zutat"": ""Hackfleisch"", ""eigenschaft"": ""gemischt""}",500.0,g
833,weißkohl frisch,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Wei\u00dfkohl"", ""eigenschaft"": ""frisch""}",1.0,stück
834,bratenfond,800 ml,"{""volumen"": 800, ""einheit"": ""ml""}","{""zutat"": ""Bratenfond"", ""eigenschaft"": ""fl\u00fcssig""}",0.8,liter
835,lorbeerblatt,3,"{""anzahl"": 3, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Lorbeerblatt""}",3.0,stück
836,pimentkörner,7,"{""anzahl"": 7, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Pimentk\u00f6rner""}",7.0,stück
837,zwiebel gewürfelt,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}",1.0,stück
838,tomatenmark,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Tomatenmark""}",0.015,liter
839,biozitronen ca    g -zumnindest als bio gekauft ,4 stück,"{""anzahl"": 4, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Zitrone"", ""eigenschaft"": ""bio""}",4.0,stück
840,stevia flüssig,10 ml,"{""volumen"": 10, ""einheit"": ""ml""}","{""zutat"": ""Stevia"", ""eigenschaft"": ""fl\u00fcssig""}",0.01,liter
841,gelfix  - ,1 pack,"{""anzahl"": 1, ""einheit"": ""pack""}","{""zutat"": ""Gelfix""}",1.0,stück
842,große feste mangos - nettoca    -   g,2 stück,"{""anzahl"": 2, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Mango"", ""eigenschaft"": ""fest""}",2.0,stück
843,stevia flüssig,10 ml,"{""volumen"": 10, ""einheit"": ""ml""}","{""zutat"": ""Stevia"", ""eigenschaft"": ""fl\u00fcssig""}",0.01,liter
844,gelfix  - ,1 pack,"{""anzahl"": 1, ""einheit"": ""pack""}","{""zutat"": ""Gelfix""}",1.0,stück
845,toastbrot,4 scheiben,"{""anzahl"": 4, ""einheit"": ""scheiben""}","{""zutat"": ""Toastbrot"", ""eigenschaft"": ""geschnitten""}",4.0,stück
846,schmand,1 becher,"{""volumen"": 1, ""einheit"": ""becher""}","{""zutat"": ""Schmand""}",0.25,liter
847,zwiebel,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel""}",1.0,stück
848,käse,4 scheiben,"{""anzahl"": 4, ""einheit"": ""scheiben""}","{""zutat"": ""K\u00e4se"", ""eigenschaft"": ""Scheibe""}",4.0,stück
849,rinderhackfleisch,500 g,"{""gewicht"": 500, ""einheit"": ""g""}","{""zutat"": ""Hackfleisch"", ""eigenschaft"": ""Rind""}",500.0,g
850,gorgonzola,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Gorgonzola""}",200.0,g
851,blattspinat,1 pck,"{""anzahl"": 1, ""einheit"": ""pck""}","{""zutat"": ""Spinat"", ""eigenschaft"": ""blatt""}",1.0,stück
852,spirelli,400 g,"{""gewicht"": 400, ""einheit"": ""g""}","{""zutat"": ""Spirelli""}",400.0,g
853,zwiebel,150,"{""anzahl"": 150, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel""}",150.0,stück
854,knoblauch,2 zehen,"{""anzahl"": 2, ""einheit"": ""Zehen""}","{""zutat"": ""Zehe"", ""eigenschaft"": ""Knoblauch""}",2.0,stück
